id,user_id,number_of_friends,percentage_overlap,network_type,created_at,updated_at,data_size,total_size,percentage_overlap_data_size
489,289,86,0.129664022,olin,54:08.9,18:29.9,19942315,457353900,0.043603684
491,289,88,0.129664022,olin,54:29.8,18:29.9,19942315,457353900,0.043603684
493,289,90,0.129664022,olin,54:49.7,18:29.9,19942315,457353900,0.043603684
488,289,85,0.129664022,olin,53:54.3,18:29.9,19942315,457353900,0.043603684
492,289,89,0.129664022,olin,54:39.8,18:29.9,19942315,457353900,0.043603684
433,289,30,0.129832855,olin,46:27.5,18:29.9,19896231,457353900,0.043502922
435,289,32,0.129832855,olin,46:47.7,18:29.9,19896231,457353900,0.043502922
451,289,48,0.129832855,olin,48:32.6,18:29.9,19899891,457353900,0.043510924
454,289,51,0.129832855,olin,48:55.9,18:29.9,19899891,457353900,0.043510924
434,289,31,0.129832855,olin,46:41.8,18:29.9,19896231,457353900,0.043502922
453,289,50,0.129832855,olin,48:46.7,18:29.9,19899891,457353900,0.043510924
455,289,52,0.129832855,olin,49:02.3,18:29.9,19899891,457353900,0.043510924
456,289,53,0.129832855,olin,49:09.2,18:29.9,19899891,457353900,0.043510924
473,289,70,0.129832855,olin,51:30.8,18:29.9,19920458,457353900,0.043555894
471,289,68,0.129832855,olin,51:11.8,18:29.9,19920458,457353900,0.043555894
472,289,69,0.129832855,olin,51:20.1,18:29.9,19920458,457353900,0.043555894
502,1200,9,0.129976581,olin,54:53.4,18:29.9,3982464,52989410,0.075155847
437,289,34,0.130001688,olin,46:58.8,18:29.9,19896231,457353900,0.043502922
474,289,71,0.130001688,olin,51:39.4,18:29.9,19920458,457353900,0.043555894
475,289,72,0.130001688,olin,51:47.3,18:29.9,19920458,457353900,0.043555894
477,289,74,0.130001688,olin,52:06.5,18:29.9,19920458,457353900,0.043555894
479,289,76,0.130001688,olin,52:24.0,18:29.9,19920458,457353900,0.043555894
481,289,78,0.130001688,olin,52:42.6,18:29.9,19920458,457353900,0.043555894
482,289,79,0.130001688,olin,52:53.9,18:30.0,19916712,457353900,0.043547703
478,289,75,0.130001688,olin,52:15.4,18:30.0,19920458,457353900,0.043555894
438,289,35,0.130170522,olin,47:05.8,18:30.0,19899891,457353900,0.043510924
441,289,38,0.130170522,olin,47:27.6,18:30.0,19899891,457353900,0.043510924
442,289,39,0.130170522,olin,47:33.4,18:30.0,19899891,457353900,0.043510924
444,289,41,0.130170522,olin,47:44.1,18:30.0,19899891,457353900,0.043510924
445,289,42,0.130170522,olin,47:51.3,18:30.0,19899891,457353900,0.043510924
446,289,43,0.130170522,olin,47:57.1,18:30.0,19899891,457353900,0.043510924
449,289,46,0.130170522,olin,48:18.1,18:30.0,19899891,457353900,0.043510924
457,289,54,0.130508188,olin,49:16.5,18:30.0,19916011,457353900,0.043546171
447,289,44,0.130170522,olin,48:02.5,18:30.0,19899891,457353900,0.043510924
448,289,45,0.130170522,olin,48:10.9,18:30.0,19899891,457353900,0.043510924
458,289,55,0.130508188,olin,49:24.1,18:30.0,19916011,457353900,0.043546171
459,289,56,0.130677022,olin,49:30.9,18:30.0,19916011,457353900,0.043546171
462,289,59,0.130677022,olin,49:54.9,18:30.0,19916011,457353900,0.043546171
463,289,60,0.130677022,olin,50:02.7,18:30.0,19916011,457353900,0.043546171
464,289,61,0.130677022,olin,50:10.5,18:30.0,19916011,457353900,0.043546171
465,289,62,0.130845855,olin,50:18.4,18:30.0,19916011,457353900,0.043546171
466,289,63,0.131183522,olin,50:28.3,18:30.0,19927902,457353900,0.04357217
467,289,64,0.131183522,olin,50:35.7,18:30.0,19927902,457353900,0.04357217
503,1200,10,0.144613583,olin,54:54.1,18:30.5,3992294,52989410,0.075341356
504,1200,11,0.144613583,olin,54:54.8,18:30.5,3992294,52989410,0.075341356
506,1200,13,0.144613583,olin,54:55.7,18:30.5,3992294,52989410,0.075341356
507,1200,14,0.144613583,olin,54:56.2,18:30.5,3992294,52989410,0.075341356
505,1200,12,0.144613583,olin,54:55.3,18:30.5,3992294,52989410,0.075341356
509,1200,16,0.145784543,olin,54:57.5,18:30.5,3992294,52989410,0.075341356
510,1200,17,0.146370023,olin,54:58.4,18:30.6,3996165,52989410,0.075414408
512,1200,19,0.218384075,olin,55:00.2,18:34.1,5012178,52989410,0.094588296
513,1200,20,0.243559719,olin,55:02.3,18:35.6,5063937,52989410,0.095565076
517,1200,24,0.258196721,olin,55:10.8,18:36.5,10983982,52989410,0.207286362
514,1200,21,0.258196721,olin,55:06.0,18:36.5,10983982,52989410,0.207286362
516,1200,23,0.258196721,olin,55:09.7,18:36.5,10983982,52989410,0.207286362
518,1200,25,0.261124122,olin,55:11.9,18:36.7,10983982,52989410,0.207286362
519,1200,26,0.264051522,olin,55:13.0,18:36.9,10995774,52989410,0.207508897
520,1200,27,0.264637002,olin,55:14.0,18:36.9,10995774,52989410,0.207508897
522,1200,29,0.267564403,olin,55:15.9,18:37.0,11004248,52989410,0.207668815
526,1200,33,0.267564403,olin,55:25.9,18:37.1,10999769,52989410,0.207584289
524,1200,31,0.267564403,olin,55:23.3,18:37.1,11004248,52989410,0.207668815
525,1200,32,0.268149883,olin,55:25.0,18:37.1,11004248,52989410,0.207668815
529,1200,36,0.270491803,olin,55:30.4,18:37.3,11012556,52989410,0.207825601
527,1200,34,0.270491803,olin,55:27.3,18:37.3,11012556,52989410,0.207825601
399,238,115,0.563293147,olin,43:39.2,18:51.9,104905879,273512330,0.383550822
530,1200,37,0.270491803,olin,55:31.5,18:37.3,11012556,52989410,0.207825601
532,1200,39,0.270491803,olin,55:34.0,18:37.3,11012556,52989410,0.207825601
528,1200,35,0.270491803,olin,55:29.4,18:37.3,11012556,52989410,0.207825601
495,1200,2,0.066744731,olin,54:50.5,18:29.1,1685978,52989410,0.031817263
500,1200,7,0.121779859,olin,54:52.6,18:29.7,3970661,52989410,0.074933105
631,372,4,0.123217208,olin,58:03.9,18:29.8,5406495,77087011,0.070134967
633,372,6,0.124386252,olin,58:07.1,18:29.8,5418006,77087011,0.070284292
